Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,TRUE,95,1165,Beginner Level,2.5,2017-05-28T23:41:03Z,Business Finance
THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,TRUE,200,1843,All Levels,1.5,2016-10-04T15:20:57Z,Business Finance
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,TRUE,45,8797,All Levels,6.5,2015-01-09T03:55:15Z,Business Finance
Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,TRUE,200,1030,All Levels,2,2017-06-01T05:22:08Z,Business Finance
The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,TRUE,200,1041,All Levels,1.5,2017-06-11T19:02:03Z,Business Finance
Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,TRUE,195,7884,Intermediate Level,10,2015-05-19T23:25:41Z,Business Finance
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,TRUE,195,16900,Beginner Level,5.5,2014-12-12T23:58:39Z,Business Finance
Introduction to Finance  Accounting  Modeling and Valuation,https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,TRUE,200,11441,All Levels,4.5,2016-06-28T06:12:23Z,Business Finance
Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,TRUE,195,22257,All Levels,7.5,2014-11-25T23:00:40Z,Business Finance
The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,TRUE,195,8575,All Levels,5.5,2016-10-10T16:16:26Z,Business Finance
The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,TRUE,195,24481,All Levels,10,2016-01-21T01:38:48Z,Business Finance
Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,TRUE,195,3811,All Levels,6.5,2017-03-30T22:17:09Z,Business Finance
Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,TRUE,195,4991,Beginner Level,11.5,2017-03-29T22:36:05Z,Business Finance
Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,TRUE,115,7489,Intermediate Level,1,2015-10-22T21:54:28Z,Business Finance
Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,TRUE,200,20195,All Levels,16,2014-10-27T22:01:36Z,Business Finance
Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,TRUE,150,10042,All Levels,3,2015-10-22T00:03:48Z,Business Finance
Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,TRUE,95,367,All Levels,5,2017-06-21T23:18:47Z,Business Finance
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,TRUE,200,10603,All Levels,5.5,2014-10-12T21:19:11Z,Business Finance
Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,TRUE,190,1197,All Levels,5,2017-05-24T23:02:07Z,Business Finance
Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,TRUE,150,2893,All Levels,2,2016-08-10T15:27:06Z,Business Finance
How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,TRUE,200,1580,Expert Level,2,2017-05-02T21:20:54Z,Business Finance
Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,TRUE,95,10605,All Levels,3,2014-10-24T18:13:49Z,Business Finance
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,TRUE,125,2996,Intermediate Level,2,2015-03-09T00:24:38Z,Business Finance
Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,TRUE,30,6219,All Levels,1,2017-02-14T04:42:58Z,Business Finance
Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,TRUE,200,1113,All Levels,1.5,2017-04-02T21:46:00Z,Business Finance
Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,TRUE,60,8314,Beginner Level,4,2015-01-24T06:31:19Z,Business Finance
Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,TRUE,200,5572,Beginner Level,5.5,2014-03-27T17:58:37Z,Business Finance
How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,TRUE,145,1433,Intermediate Level,1,2016-05-09T05:44:33Z,Business Finance
A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,TRUE,20,936,Intermediate Level,1.5,2017-04-11T00:59:50Z,Business Finance
How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,TRUE,200,658,All Levels,1,2017-06-02T18:12:45Z,Business Finance
Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,TRUE,105,8121,All Levels,3.5,2016-10-18T00:51:59Z,Business Finance
Comprehensive Guide to Financial Markets  Investing &Trading,https://www.udemy.com/financial-markets-a-to-z-for-beginners/,TRUE,60,4187,Beginner Level,9,2016-02-29T18:45:41Z,Business Finance
Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,TRUE,155,9445,All Levels,4.5,2014-02-19T19:04:28Z,Business Finance
Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,TRUE,200,3255,All Levels,8.5,2016-06-20T20:17:12Z,Business Finance
Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,TRUE,185,7941,All Levels,6.5,2014-08-11T08:01:14Z,Business Finance
The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,TRUE,150,1680,All Levels,5.5,2016-11-26T04:09:14Z,Business Finance
Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,TRUE,180,10100,Beginner Level,11,2013-02-25T11:36:06Z,Business Finance
How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,TRUE,125,5050,All Levels,1.5,2015-02-10T04:21:40Z,Business Finance
How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,TRUE,200,2310,All Levels,3.5,2016-10-05T17:42:52Z,Business Finance
Forex Strategies: Kelly Criterion  Larry Williams and more!,https://www.udemy.com/money-management/,TRUE,185,5528,All Levels,3,2015-02-19T11:31:27Z,Business Finance
Elite Trend Trader: Learn To Trade Stocks  Options & Forex,https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,TRUE,125,6451,All Levels,5,2014-04-16T13:58:31Z,Business Finance
Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,TRUE,95,12394,Beginner Level,2.5,2015-02-20T21:39:41Z,Business Finance
The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,TRUE,200,1793,All Levels,1,2017-03-03T21:43:05Z,Business Finance
Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,TRUE,20,3223,All Levels,1,2016-03-30T15:29:03Z,Business Finance
Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,TRUE,60,16385,Beginner Level,3,2014-09-02T03:53:13Z,Business Finance
The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,TRUE,200,1487,All Levels,2,2017-03-08T21:09:41Z,Business Finance
What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,TRUE,200,2951,All Levels,4,2016-05-04T05:22:32Z,Business Finance
The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,TRUE,120,2697,All Levels,1,2015-08-13T18:58:05Z,Business Finance
Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,TRUE,150,3979,Beginner Level,5,2016-11-09T01:45:20Z,Business Finance
Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,TRUE,25,3190,All Levels,4,2016-02-03T17:10:31Z,Business Finance
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,TRUE,200,1406,Expert Level,1.5,2017-01-18T20:55:27Z,Business Finance
VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,TRUE,160,4252,All Levels,2,2014-09-19T04:07:58Z,Business Finance
Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,TRUE,20,11958,Beginner Level,11.5,2014-10-02T09:16:55Z,Business Finance
Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,TRUE,95,7743,Beginner Level,1.5,2015-09-10T00:30:48Z,Business Finance
"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,TRUE,50,2134,All Levels,1,2016-07-13T18:37:40Z,Business Finance
Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,TRUE,200,1214,All Levels,1.5,2016-10-07T04:58:46Z,Business Finance
How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,TRUE,20,3870,All Levels,1,2016-03-21T21:09:49Z,Business Finance
